practice,city,rating,reviews,website,finalUrl,httpStatus,vendor,category,confidence
Riverside Dental Group,Riverside,4.7,214,http://riversidedentalgroup.com/riversidedentalgroup,https://riversidedentalgroup.com/locations/riverside-dental-group/,200,wordpress-generic,cms,2
Sierraview Dental Care,Riverside,4.6,613,https://dentalviews.com/location/sierraview-dental-care-riverside-ca/,https://dentalviews.com/location/sierraview-dental-care-riverside-ca/,200,wordpress-generic,cms,3
Dental Associates of Riverside,Riverside,4.7,253,http://riversidedentalgroup.com/riversidecentral,https://riversidedentalgroup.com/locations/dental-associates-of-riverside/,200,wordpress-generic,cms,2
Dental Care of Riverside,Riverside,4.8,239,https://www.dentalcareofriverside.net/?utm_source=google&utm_medium=google_business_profile&utm_campaign=website_click,https://www.dentalcareofriverside.net/?utm_source=google&utm_medium=google_business_profile&utm_campaign=website_click,200,prosites,dental-mill,1
Mission Grove Dentistry,Riverside,4.9,484,https://www.missiongrovedentist.com/,https://www.missiongrovedentist.com/,200,unknown,unknown,0
Riverside Center For Esthetic Dentistry,Riverside,4.9,223,https://www.riversidecenterforestheticdentistry.com/,https://www.riversidecenterforestheticdentistry.com/,200,drupal,cms,1
Smile Pathway Dental,Riverside,5,524,https://www.smilepathwaydental.com/,https://www.smilepathwaydental.com/,200,webflow,modern-stack,3
Signature Smiles Dental,Riverside,4.9,523,https://www.signaturesmilesriverside.com/,https://signaturesmilesriverside.com/,200,webflow,modern-stack,2
"Newport Dental & Orthodontics - Riverside, CA (La Sierra)",Riverside,4,273,http://newportdentalriverside.com/?utm_source=generic&utm_medium=profiles&utm_campaign=local_profiles,https://newportdentalriverside.com/,200,wordpress-generic,cms,2
Riverside Dental and Orthodontics,Riverside,4.5,226,https://riversidedentalandorthodontics.com/,https://riversidedentalandorthodontics.com/,200,wordpress-generic,cms,3
My Riverside Dentist,Riverside,4.9,80,http://www.myriversidedentaloffice.com/,http://www.myriversidedentaloffice.com/,200,prosites,dental-mill,1
Parkview Dental Care,Riverside,4.6,449,https://dentalviews.com/location/parkview-dental-care-riverside-ca/,https://dentalviews.com/location/parkview-dental-care-riverside-ca/,200,wordpress-generic,cms,3
MA Dental,Riverside,5,357,http://madentalpractice.com/,https://www.madentalpractice.com/,200,drupal,cms,1
Magnolia Bright Dental - Riverside,Riverside,5,87,https://magnoliabrightdental.com/,https://magnoliabrightdental.com/,200,wordpress-generic,cms,3
Dentist Riverside CA - Dental Specialists of Riverside - Emergency & Cosmetic Dentist,Riverside,4.4,181,https://www.dentalspecialistsofriverside.com/,https://www.dentalspecialistsofriverside.com/,200,gatsby,modern-stack,2
Woodcrest Dental Studio,Riverside,4.9,400,http://www.woodcrestdentalstudio.com/,https://woodcrestdentalstudio.com/,200,wordpress-generic,cms,3
Riverside Dental Care,Riverside,4.7,55,https://fontanadentalcareca.com/fontana-dental-care-in-riverside-ca/,https://fontanadentalcareca.com/fontana-dental-care-in-riverside-ca/,200,wordpress-generic,cms,2
Riverside Dentist - Dr. Morsy Dental Services,Riverside,4.8,250,https://drmorsydental.com/,https://drmorsydental.com/,200,unknown,unknown,0
Aava Dental Riverside,Riverside,4.9,894,https://aavadental.com/riverside-county/,https://aavadental.com/riverside-county/,404,wordpress-generic,cms,3
California Dental Group,Riverside,4.9,495,https://riversidefamilysmiles.com/,https://riversidefamilysmiles.com/,200,wordpress-generic,cms,2
Arlington Dental Group and Orthodontics,Riverside,4.5,338,https://www.arlingtondentalgroup.com/?sc_cid=GBP%3AO%3AGP%3A52%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTEwMjY2MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.arlingtondentalgroup.com/?sc_cid=GBP%3AO%3AGP%3A52%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTEwMjY2MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,200,pacific-dental-services,dental-mill,4
Neal Edwards DDS,Riverside,5,335,https://www.nealedwardsdds.com/,https://www.nealedwardsdds.com/,200,wordpress-generic,cms,3
Magnolia Dental Care,Riverside,4.4,78,https://www.mymagnoliadentist.com/,https://www.mymagnoliadentist.com/,200,officite,dental-mill,1
Gentle Dental Riverside Tyler Village,Riverside,4.4,185,https://gentledental.interdent.com/locations/ca/riverside-arlington/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing&utm_content=GDRIVERTYLER&y_source=1_MTA5NjAyNjcyOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://gentledental.interdent.com/locations/ca/riverside-tyler?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing&utm_content=GDRIVERTYLER&y_source=1_MTA5NjAyNjcyOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,200,wordpress-generic,cms,1
Mark Harris Dental,Riverside,4.9,558,https://www.markharrisdds.com/,https://www.markharrisdds.com/,200,wordpress-generic,cms,2
Tropic Dental Care | Cosmetic & Emergency Dentist Riverside,Riverside,4.7,89,https://www.tropicdentalcare.com/?utm_source=gmb,https://www.tropicdentalcare.com/?utm_source=gmb,200,wordpress-generic,cms,3
Chad Tomazin DDS,Riverside,4.7,92,http://www.iedental.com/?y_source=1_OTg4NzI5OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.iedental.com/?y_source=1_OTg4NzI5OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,200,wordpress-generic,cms,3
Anthem Dental – Riverside & Moreno Valley,Riverside,4.9,281,https://anthemdentalriverside.com/?utm_source=GoogleOrganic&utm_medium=GMBwebsite&utm_campaign=GMBWebsiteLink,https://anthemdentalriverside.com/?utm_source=GoogleOrganic&utm_medium=GMBwebsite&utm_campaign=GMBWebsiteLink,200,wordpress-generic,cms,3
California Dental Group of Riverside,Riverside,3.9,97,https://calidentalgroup.com/riverside-office,https://www.calidentalgroup.com/riverside-office/,200,wordpress-generic,cms,3
Canyon Springs Dental Group and Orthodontics,Riverside,4.5,337,https://www.canyonspringsdental.com/?sc_cid=GBP%3AO%3AGP%3A48%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTEwMjY1OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.canyonspringsdental.com/?sc_cid=GBP%3AO%3AGP%3A48%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTEwMjY1OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,200,pacific-dental-services,dental-mill,4
Riverside Dental Group at Woodcrest,Riverside,4.8,91,http://www.riversidedentalgroup.com/woodcrest,https://riversidedentalgroup.com/2013/12/10/woodcrest-ca-dentists-warn-against-late-night-snacking/,200,wordpress-generic,cms,2
"DocDental- Negeen Zareh DMD, Inc",Riverside,4.9,390,http://www.docdental.com/,https://www.docdental.com/,200,officite,dental-mill,1
"Christine Highum, DDS",Riverside,5,194,http://christinehighumdds.com/,https://www.christinehighumdds.com/,200,wix,diy-builder,1
A Tooth Fairy Dental,Riverside,4.7,489,http://www.atoothfairy.com/,https://www.atoothfairy.com/,200,solution-reach,dental-mill,2
Gold Coast Dental - Riverside,Riverside,3,114,https://goldcoastdental.com/locations/riverside-ca/?utm_source=google&utm_medium=organic&utm_campaign=gmb,https://goldcoastdental.com/locations/riverside-ca/?utm_source=google&utm_medium=organic&utm_campaign=gmb,200,wordpress-generic,cms,3
Gentle Dental Riverside Central,Riverside,4.5,326,https://gentledental.interdent.com/locations/ca/riverside-central-ave/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing&utm_content=GDCENTRALAVE&y_source=1_MTA5NjAyNjY1OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://gentledental.interdent.com/locations/ca/riverside-central-ave?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing&utm_content=GDCENTRALAVE&y_source=1_MTA5NjAyNjY1OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,200,wordpress-generic,cms,1
Western Dental & Orthodontics,Riverside,4.5,1089,https://www.westerndental.com/en-us/find-a-location/california/riverside/3485-madison-st?utm_source=GMB&utm_medium=organic,https://www.westerndental.com/en-us/find-a-location/california/riverside/3485-madison-street/,200,wordpress-generic,cms,3
Vazquez Norma DDS,Riverside,4.8,151,https://www.normavazquezdds.com/?utm_source=local&utm_medium=organic&utm_campaign=gbp_home,https://www.normavazquezdds.com/?utm_source=local&utm_medium=organic&utm_campaign=gbp_home,200,great-dental-websites,dental-mill,1
Cleopatra Dental | Riverside Dentist,Riverside,4.7,61,https://dentistryriverside.com/,https://dentistryriverside.com/,200,wordpress-generic,cms,1
Grove Dental Group and Orthodontics,Riverside,4.6,397,https://www.grovedentalgroup.com/?sc_cid=GBP%3AO%3AGP%3A38%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTEwMjY0OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.grovedentalgroup.com/?sc_cid=GBP%3AO%3AGP%3A38%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTEwMjY0OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,200,pacific-dental-services,dental-mill,4
University Dental Clinic,Riverside,5,94,https://universitydentalclinicriverside.com/,https://universitydentalclinicriverside.com/,200,unknown,unknown,0
Star Dental Group,Riverside,4.4,155,https://stardentalriverside.com/?utm_source=gmb,https://www.stardentalriverside.com/?utm_source=gmb,200,officite,dental-mill,1
Super Smile Dental of Riverwalk,Riverside,4.5,17,https://supersmiledentalcalifornia.com/,https://supersmiledentalcalifornia.com/,200,unknown,unknown,0
Orangecrest Dental Group,Riverside,4.7,62,https://riverside-dentist.com/,https://riverside-dentist.com/,0,unreachable,unknown,0
Vernon Dental Specialty Group,San Bernardino,4.6,1512,https://vdspecialties.com/,https://vdspecialties.com/,200,unknown,unknown,0
Dental Practice of San Bernardino,San Bernardino,4.3,60,https://www.sanbernardinofamilydental.com/,https://www.sanbernardinofamilydental.com/,200,unknown,unknown,0
Gill Family Dentistry,San Bernardino,4.7,1376,https://drgillfamilydentistry.com/,https://drgillfamilydentistry.com/,200,unknown,unknown,0
D Street Family Dentistry,San Bernardino,4.9,206,http://sanbernardinoleedds.com/,https://www.sanbernardinoleedds.com/,200,docsites,dental-mill,2
Dream Smile City Of San Bernardino,San Bernardino,4.7,281,https://dreamsmilecity.com/?utm_source=gmb,https://dreamsmilecity.com/?utm_source=gmb,200,wordpress-generic,cms,3
Smiles West Dental & Orthodontics - San Bernardino,San Bernardino,4.3,145,https://smileswest.com/san-bernardino/,https://smileswest.com/san-bernardino/,200,wordpress-generic,cms,3
Mountainview Dental Care,San Bernardino,4.7,648,https://dentalviews.com/location/mountainview-dental-care-san-bernardino-ca/,https://dentalviews.com/location/mountainview-dental-care-san-bernardino-ca/,200,wordpress-generic,cms,3
Dental Lounge,San Bernardino,5,129,https://www.sbdentallounge.com/,https://www.sbdentallounge.com/,200,docsites,dental-mill,2
My Dentist and Orthodontist,San Bernardino,4.5,168,https://www.mydentistcalifornia.com/,https://www.mydentistcalifornia.com/,200,wordpress-generic,cms,3
Inland Dental Arts,San Bernardino,4.9,131,https://www.inlanddentalarts.com/,https://www.inlanddentalarts.com/,200,unknown,unknown,0
Sierra Gateway Dental Office,San Bernardino,4.4,110,https://sierradentaloffice.com/,https://sierradentaloffice.com/,200,wordpress-generic,cms,3
Hub Plaza Dental Group and Orthodontics,San Bernardino,4.7,308,https://www.hubplazadental.com/?sc_cid=GBP%3AO%3AGP%3A20%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTEwMjYzMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.hubplazadental.com/?sc_cid=GBP%3AO%3AGP%3A20%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTEwMjYzMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,200,pacific-dental-services,dental-mill,4
"Southland Dental Group: Antoine Sourialle, DDS, Inc",San Bernardino,4.8,348,https://www.stbernardinedentalcenter.com/,https://www.stbernardinedentalcenter.com/,200,unknown,unknown,0
Inland Dental Center,San Bernardino,4.3,90,https://www.idcsanbernardino.com/,https://www.idcsanbernardino.com/,403,unknown,unknown,0
California Bright Dental,San Bernardino,4.4,47,https://californiabrightdental.com/,https://californiabrightdental.com/,200,wordpress-generic,cms,3
Sulaeman Family Dentistry,San Bernardino,4.4,225,http://www.mysanbernardinodentist.com/,https://www.mysanbernardinodentist.com/,200,weebly,diy-builder,2
Kingsly Dentistry,San Bernardino,4.9,322,http://www.kingslydentistry.com/,https://www.kingslydentistry.com/,200,prosites,dental-mill,1
San Bernardino Family Dentistry,San Bernardino,2.6,9,https://sbfamilydentistryb.wixsite.com/sbfamilydentistry,https://sbfamilydentistryb.wixsite.com/sbfamilydentistry,200,wix,diy-builder,2
Western Dental & Orthodontics,San Bernardino,4.3,650,https://www.westerndental.com/en-us/find-a-location/california/san-bernardino/1199-n-e-st/?utm_source=GMB&utm_medium=organic,https://www.westerndental.com/en-us/find-a-location/california/san-bernardino/1199-north-e-street/,200,wordpress-generic,cms,3
Wildwood Dental Group,San Bernardino,4.7,95,http://www.wildwood-dental.com/,http://www.wildwood-dental.com/,200,squarespace,diy-builder,2
Cal Select Dental Group,San Bernardino,4.6,194,http://www.calselectdental.com/,https://www.calselectdental.com/,200,informatics-inc,dental-mill,1
Western Dental & Orthodontics,San Bernardino,3.7,418,https://www.westerndental.com/en-us/find-a-location/california/san-bernardino/2094-e-highland-ave?utm_source=GMB&utm_medium=organic,https://www.westerndental.com/en-us/find-a-location/california/san-bernardino/2094-east-highland-avenue/,200,wordpress-generic,cms,3
Fresh Smile Dental,San Bernardino,3.5,42,http://www.freshsmiledentalcare.com/,http://www.freshsmiledentalcare.com/,0,unreachable,unknown,0
Sonrisas Dental Studio,San Bernardino,4,154,http://sonrisasdentalstudio.net/,https://www.sonrisasdentalstudio.net/,200,officite,dental-mill,1
MGO Dental,San Bernardino,4.3,47,http://www.mgodental.com/,https://www.mgodental.com/,200,infostar-productions,dental-mill,2
Lifetime Dental & Fastbraces,San Bernardino,4.6,131,https://www.lifetimedentalsanbernardino.com/,https://www.lifetimedentalsanbernardino.com/,200,prosites,dental-mill,1
Dr. W - Family Dentistry,San Bernardino,5,42,http://www.drwdds.org/,https://www.drwdds.org/,200,wix,diy-builder,1
Your Smile Dental Office,San Bernardino,4.3,37,http://yoursmilesdentistry.com/,https://www.yoursmilesdentistry.com/,200,nextjs,modern-stack,2
University Heights Family Dentistry,San Bernardino,3.5,62,http://www.naikfamilydentistry.com/,https://www.naikfamilydentistry.com/,200,duda,diy-builder,1
Hospitality Dental & Orthodontics,San Bernardino,4.8,529,https://www.hospitalitydental.com/,https://www.hospitalitydental.com/,200,informatics-inc,dental-mill,1
Arrowhead Family Dentistry,San Bernardino,4,80,http://smilebettersanbernardino.com/,https://smilebettersanbernardino.com/,200,wordpress-generic,cms,2
James M. Sumilat D.D.S. Inc.,San Bernardino,4.9,240,https://weence.com/medical/doctors/san-bernardino/james-m-sumilat-d-d-s-inc/,https://weence.com/medical/doctors/san-bernardino/james-m-sumilat-d-d-s-inc/,200,wordpress-generic,cms,3
Children's Choice Dental Care San Bernardino,San Bernardino,4.7,250,https://www.mychildrenschoice.com/locations/childrens-choice-dental-care-san-bernardino/,https://www.mychildrenschoice.com/locations/childrens-choice-dental-care-san-bernardino/,200,wordpress-generic,cms,2
Town Center Dental Office,San Bernardino,4.8,14,https://www.towncenterdentaloffice.com/,https://www.towncenterdentaloffice.com/,200,officite,dental-mill,1
SB Valley Dentistry,San Bernardino,4.3,11,http://www.sbvalleydentistry.com/,http://www.sbvalleydentistry.com/,200,prosites,dental-mill,1
Children Dental World,San Bernardino,4.9,1579,https://www.mychildrendentalworld.com/,https://www.mychildrendentalworld.com/,200,docsites,dental-mill,2
SUNSHINE DENTAL,San Bernardino,4.1,77,http://www.sunshinedentalclinic.com/,http://www.sunshinedentalclinic.com/,200,prosites,dental-mill,1
Lil Smile Builders Children's Dentistry,San Bernardino,4.8,673,http://www.lilsmilebuilders.com/,https://www.lilsmilebuilders.com/,200,unknown,unknown,0
Loma Linda University Center for Dentistry and Orthodontics,San Bernardino,3.8,28,https://dentalclinics.llu.edu/faculty-clinics/,https://dentalclinics.llu.edu/faculty-clinics,200,drupal,cms,1
Arrowhead Dental Specialities,San Bernardino,3.9,17,https://www.arrowheaddentalspecialties.org/contact-us/contact-information-office-map/,https://www.arrowheaddentalspecialties.org/contact-us/contact-information-office-map/,403,unknown,unknown,0
Dr. Kim's Family Dentistry,San Bernardino,4.3,16,https://www.facebook.com/drkimfamilydental,https://www.facebook.com/drkimfamilydental,200,webflow,modern-stack,1
Sugar Bug Buster of San Bernardino,San Bernardino,4.8,117,http://www.sugarbugbuster.com/,https://www.sugarbugbuster.com/,200,wordpress-generic,cms,3
Children Dental World,San Bernardino,4.8,1427,http://mychildrendentalworld.com/,https://www.mychildrendentalworld.com/,200,docsites,dental-mill,2
Shandin Hills Family Dentistry,San Bernardino,3.8,9,https://hillsshandin.wixsite.com/familydentistry,https://hillsshandin.wixsite.com/familydentistry,200,wix,diy-builder,2
Pham Thanh DDS,San Bernardino,4.9,17,https://weence.com/medical/doctors/san-bernardino/pham-thanh-dds/,https://weence.com/medical/doctors/san-bernardino/pham-thanh-dds/,200,wordpress-generic,cms,3
Drs. Young and Zerne,San Bernardino,5,186,http://www.youngandzernedds.com/,http://www.youngandzernedds.com/misc/pgNotFound.html,200,unknown,unknown,0
